"Category","Source","Destination","Purpose","SizeKB"
"project","01_project_b2b_lead_to_order\leads_raw.csv","data\sample\project\leads_raw.csv","Lead-level CRM source for funnel, lead quality, attribution, and sales ownership.","179.18"
"project","01_project_b2b_lead_to_order\marketing_daily_raw.csv","data\sample\project\marketing_daily_raw.csv","Campaign/day marketing activity and spend used for channel efficiency and CPL.","369.35"
"project","01_project_b2b_lead_to_order\sales_activities_raw.csv","data\sample\project\sales_activities_raw.csv","Sales activity history used to derive first response time.","165.48"
"project","01_project_b2b_lead_to_order\quotations_raw.csv","data\sample\project\quotations_raw.csv","Quotation header records used to identify quoted leads.","43.38"
"project","01_project_b2b_lead_to_order\quotation_lines_raw.csv","data\sample\project\quotation_lines_raw.csv","Quotation line detail for product and quote-value analysis.","52.49"
"project","01_project_b2b_lead_to_order\sales_orders_raw.csv","data\sample\project\sales_orders_raw.csv","Sales-order headers used to identify converted leads and new orders.","15.37"
"project","01_project_b2b_lead_to_order\sales_order_lines_raw.csv","data\sample\project\sales_order_lines_raw.csv","Sales-order line detail for product and order-value analysis.","23.12"
"project","01_project_b2b_lead_to_order\business_interventions.csv","data\sample\project\business_interventions.csv","Synthetic intervention dates used for descriptive pre/post analysis.","0.66"
"shared","00_shared_reference\customers_raw.csv","data\sample\shared\customers_raw.csv","Customer master used for customer/segment context.","19.37"
"shared","00_shared_reference\departments.csv","data\sample\shared\departments.csv","Department lookup supporting employee context.","0.13"
"shared","00_shared_reference\employees.csv","data\sample\shared\employees.csv","Employee master used for salesperson ownership and response analysis.","0.58"
"shared","00_shared_reference\marketing_campaigns.csv","data\sample\shared\marketing_campaigns.csv","Campaign master used to map campaigns to canonical marketing channels.","1.27"
"shared","00_shared_reference\products_raw.csv","data\sample\shared\products_raw.csv","Product master for product-interest and order-line analysis.","3.79"
"reference","01_project_b2b_lead_to_order\project_brief.csv","data\reference\project_brief.csv","Original synthetic project brief.","0.9"
"reference","01_project_b2b_lead_to_order\lead_quality_score_framework.csv","data\reference\lead_quality_score_framework.csv","Reference framework supplied with the practice dataset; not a Gold KPI table.","1.28"
