date,campaign_id,channel,impressions,clicks,sessions,spend_vnd,leads_reported,source_platform
2025-01-01,MC001,Google Ads,537,29,30,444000.0,0,CRM
2025-01-02,MC001,Google Ads,540,28,28,339000.0,0,GA4
2025-01-03,MC001,Google Ads,588,26,25,349000.0,0,Manual
2025-01-04,MC001,Google Ads,88,4,5,51000.0,0,Google Ads
2025-01-05,MC001,Google Ads,102,6,7,73000.0,1,CRM
2025-01-06,MC001,Google Ads,535,25,26,383000.0,1,Google Ads
2025-01-07,MC001,Google Ads,374,19,21,277000.0,0,Meta
2025-01-08,MC001,Google Ads,540,29,26,497000.0,0,GA4
2025-01-09,MC001,Google Ads,471,22,25,322000.0,0,Google Ads
2025-01-10,MC001,Google Ads,496,27,27,399000.0,0,Meta
2025-01-11,MC001,Google Ads,137,9,9,129000.0,1,GA4
2025-01-12,MC001,Google Ads,174,9,10,118000.0,0,GA4
2025-01-13,MC001,Google Ads,244,14,14,217000.0,0,GA4
2025-01-14,MC001,Google Ads,446,25,21,363000.0,0,GA4
2025-01-15,MC001,Google Ads,496,28,27,415000.0,0,GA4
2025-01-16,MC001,Google Ads,470,29,33,383000.0,0,CRM
2025-01-17,MC001,Google Ads,534,25,24,371000.0,1,Manual
2025-01-18,MC001,Google Ads,234,11,13,148000.0,0,CRM
2025-01-19,MC001,Google Ads,231,11,10,162000.0,1,GA4
2025-01-20,MC001,Google Ads,475,28,25,361000.0,0,CRM
2025-01-21,MC001,Google Ads,577,30,31,444000.0,1,Manual
2025-01-22,MC001,Google Ads,495,30,32,401000.0,0,Manual
2025-01-23,MC001,Google Ads,446,28,25,464000.0,1,CRM
2025-01-24,MC001,Google Ads,452,24,26,294000.0,0,GA4
2025-01-25,MC001,Google Ads,155,7,7,86000.0,0,CRM
2025-01-26,MC001,Google Ads,243,13,15,194000.0,0,Google Ads
2025-01-27,MC001,Google Ads,246,15,14,225000.0,0,Google Ads
2025-01-28,MC001,Google Ads,256,14,16,199000.0,0,Google Ads
2025-01-29,MC001,Google Ads,501,22,19,319000.0,1,GA4
2025-01-30,MC001,Google Ads,382,19,20,269000.0,1,Google Ads
2025-01-31,MC001,Google Ads,401,21,21,323000.0,1,Manual
2025-02-01,MC001,Google Ads,185,11,12,145000.0,2,GA4
2025-02-02,MC001,Google Ads,280,12,14,178000.0,0,Manual
2025-02-03,MC001,Google Ads,303,15,14,255000.0,0,Manual
2025-02-04,MC001,Google Ads,306,16,17,213000.0,0,GA4
2025-02-05,MC001,Google Ads,244,13,15,167000.0,0,GA4
2025-02-06,MC001,Google Ads,260,15,14,200000.0,0,Google Ads
2025-02-07,MC001,Google Ads,248,12,11,144000.0,0,Manual
2025-02-08,MC001,Google Ads,205,11,10,158000.0,0,GA4
2025-02-09,MC001,Google Ads,135,8,7,111000.0,1,Manual
2025-02-10,MC001,Google Ads,250,16,15,257000.0,0,Google Ads
2025-02-11,MC001,GAds,418,20,23,295000.0,0,CRM
2025-02-12,MC001,Paid Search,241,14,16,233000.0,1,Meta
2025-02-13,MC001,Google Ads,392,23,20,396000.0,0,CRM
2025-02-14,MC001,google ppc,265,13,16,163000.0,1,Meta
2025-02-15,MC001,Google Ads,123,6,7,79000.0,0,Meta
2025-02-16,MC001,Google Ads,105,6,6,88000.0,1,Google Ads
2025-02-17,MC001,Google Ads,374,18,18,229000.0,0,CRM
2025-02-18,MC001,Google Ads,351,18,17,263000.0,0,CRM
