quotation_line_id,quotation_id,product_id,quantity,unit_price_local,currency,discount_pct,line_net_vnd
QL0000001,Q000001,P001,10,614190.9885,VND,0.0917,5579000.0
QL0000002,Q000002,P001,26,623220.2665,VND,0.0845,14835000.0
QL0000003,Q000002,P003,22,407133.3934,VND,0.1418,7687000.0
QL0000004,Q000003,P001,33,545450.5987,VND,0.1292,15674000.0
QL0000005,Q000003,P002,7,430525.9131,VND,0.0717,2798000.0
QL0000006,Q000003,P003,16,432460.1401,VND,0.0676,6452000.0
QL0000007,Q000003,P005,15,578325.8727,VND,0.0527,8217000.0
QL0000008,Q000004,P002,4,16.9451,USD,0.0738,1606000.0
QL0000009,Q000004,P001,32,24.3806,USD,0.0273,19418000.0
QL0000010,Q000005,P002,8,404920.5048,VND,0.102,2909000.0
QL0000011,Q000006,P002,11,16.8593,USD,0.0955,4287000.0
QL0000012,Q000007,P001,25,611403.8109,VND,0.0548,14448000.0
QL0000013,Q000007,P004,13,651361.6905,VND,0.0383,8144000.0
QL0000014,Q000008,P001,15,616301.8357,VND,0.0716,8583000.0
QL0000015,Q000008,P003,11,408583.0043,VND,0.084,4117000.0
QL0000016,Q000008,P006,18,546798.3974,VND,0.0776,9078000.0
QL0000017,Q000009,P001,39,591675.2894,VND,0.0314,22350000.0
QL0000018,Q000009,P003,6,429139.4752,VND,0.0591,2423000.0
QL0000019,Q000009,P004,7,687382.2119,VND,0.0545,4550000.0
QL0000020,Q000010,P024,20,182.4361,USD,0.0,93506000.0
QL0000021,Q000011,P014,16,383520.2243,VND,0.0721,5694000.0
QL0000022,Q000011,P012,60,402159.8089,VND,0.0295,23417000.0
QL0000023,Q000012,P001,20,613929.8959,VND,0.0752,11355000.0
QL0000024,Q000013,P001,20,613473.9301,VND,0.1018,11020000.0
QL0000025,Q000013,P005,64,599467.2368,VND,0.1134,34017000.0
QL0000026,Q000014,P001,92,594605.9466,VND,0.0711,50816000.0
QL0000027,Q000015,P001,22,22.4922,USD,0.0311,12213000.0
QL0000028,Q000016,P001,57,558253.6655,VND,0.0625,29832000.0
QL0000029,Q000016,P005,6,639068.0405,VND,0.0271,3731000.0
QL0000030,Q000016,P003,10,404957.9375,VND,0.0576,3816000.0
QL0000031,Q000016,P004,21,747289.3406,VND,0.0027,15650000.0
QL0000032,Q000017,P007,137,171449.7279,VND,0.0242,22920000.0
QL0000033,Q000018,P007,38,164001.8807,VND,0.0894,5675000.0
QL0000034,Q000019,P006,9,557488.6829,VND,0.038,4827000.0
QL0000035,Q000019,P001,57,599007.0228,VND,0.0691,31783000.0
QL0000036,Q000019,P004,27,686655.0345,VND,0.0414,17773000.0
QL0000037,Q000020,P002,27,406827.9608,VND,0.0352,10598000.0
QL0000038,Q000021,P013,24,347754.3004,VND,0.1092,7435000.0
QL0000039,Q000021,P015,101,133296.0986,VND,0.0246,13131000.0
QL0000040,Q000022,P013,109,347451.0358,VND,0.074,35069000.0
QL0000041,Q000022,P012,33,361576.8825,VND,0.0848,10920000.0
QL0000042,Q000023,P024,18,4339078.6038,VND,0.047,74429000.0
QL0000043,Q000023,P027,9,3715328.7657,VND,0.077,30862000.0
QL0000044,Q000024,P024,26,189.5838,USD,0.0431,119360000.0
QL0000045,Q000024,P023,11,136.4705,USD,0.1158,33588000.0
QL0000046,Q000025,P006,13,602891.1786,VND,0.0232,7655000.0
QL0000047,Q000025,P002,61,431460.3471,VND,0.0661,24580000.0
QL0000048,Q000026,P006,32,542549.4815,VND,0.0914,15775000.0
QL0000049,Q000026,P003,47,401479.3634,VND,0.1099,16796000.0
QL0000050,Q000026,P001,14,580773.3729,VND,0.0692,7568000.0
QL0000051,Q000027,P022,4,2358039.3096,VND,0.0328,9123000.0
QL0000052,Q000028,P006,14,548593.1496,VND,0.122,6744000.0
QL0000053,Q000029,P006,45,578844.6811,VND,0.0032,25964000.0
QL0000054,Q000030,P027,8,3783354.6931,VND,0.0361,29173000.0
QL0000055,Q000030,P026,39,5058902.2324,VND,0.0163,194074000.0
QL0000056,Q000030,P024,11,4527919.1176,VND,0.0868,45486000.0
QL0000057,Q000030,P025,9,5474077.3535,VND,0.0741,45615000.0
QL0000058,Q000031,P027,24,3812897.2112,VND,0.0606,85964000.0
QL0000059,Q000031,P023,30,3856963.422,VND,0.0443,110580000.0
QL0000060,Q000032,P001,12,548891.5601,VND,0.0,6587000.0
QL0000061,Q000033,P016,61,532210.8071,VND,0.0724,30116000.0
QL0000062,Q000033,P012,52,363448.3248,VND,0.0406,18133000.0
QL0000063,Q000034,P016,17,481846.9203,VND,0.0564,7729000.0
QL0000064,Q000034,P015,37,122233.847,VND,0.02,4432000.0
QL0000065,Q000035,P001,13,581459.1441,VND,0.0594,7110000.0
QL0000066,Q000035,P002,29,427879.939,VND,0.0787,11432000.0
QL0000067,Q000036,P001,14,572308.7759,VND,0.0892,7298000.0
QL0000068,Q000037,P001,67,575167.866,VND,0.0096,38166000.0
QL0000069,Q000037,P006,19,599226.4896,VND,0.0633,10665000.0
QL0000070,Q000037,P004,34,700575.0303,VND,0.0957,21539000.0
QL0000071,Q000037,P002,38,385914.3289,VND,0.0432,14032000.0
QL0000072,Q000038,P004,17,706064.8915,VND,0.0881,10945000.0
QL0000073,Q000038,P001,9,596474.3318,VND,0.0575,5060000.0
QL0000074,Q000039,P002,23,455332.8446,VND,0.0549,9898000.0
QL0000075,Q000039,P005,20,620276.3212,VND,0.0803,11410000.0
QL0000076,Q000039,P003,5,439039.5178,VND,0.0548,2075000.0
QL0000077,Q000040,P002,9,411527.7995,VND,0.1403,3184000.0
QL0000078,Q000041,P004,11,694696.2243,VND,0.0274,7432000.0
QL0000079,Q000041,P001,12,633286.9576,VND,0.0972,6861000.0
QL0000080,Q000042,P004,16,732291.5015,VND,0.0782,10801000.0
QL0000081,Q000043,P002,41,454668.9179,VND,0.0298,18086000.0
QL0000082,Q000043,P004,54,661864.02,VND,0.027,34777000.0
QL0000083,Q000043,P005,15,606832.6206,VND,0.0991,8200000.0
QL0000084,Q000044,P001,52,23.5982,USD,0.0886,28461000.0
QL0000085,Q000045,P001,7,581499.687,VND,0.0418,3900000.0
QL0000086,Q000045,P002,29,437806.8047,VND,0.0,12696000.0
QL0000087,Q000045,P003,66,422203.9568,VND,0.0565,26290000.0
QL0000088,Q000046,P001,30,576459.0182,VND,0.0331,16722000.0
QL0000089,Q000046,P002,37,427536.639,VND,0.0804,14547000.0
QL0000090,Q000046,P006,37,557299.3524,VND,0.0282,20038000.0
QL0000091,Q000047,P005,42,597871.4086,VND,0.0534,23771000.0
QL0000092,Q000048,P006,24,592314.0005,VND,0.0396,13653000.0
QL0000093,Q000048,P002,24,448022.2241,VND,0.097,9710000.0
QL0000094,Q000049,P020,157,396632.5222,VND,0.0637,58303000.0
QL0000095,Q000050,P006,13,562676.9459,VND,0.0508,6943000.0
QL0000096,Q000051,P006,53,548835.4415,VND,0.0619,27287000.0
QL0000097,Q000052,P006,25,534958.5818,VND,0.1178,11799000.0
QL0000098,Q000052,P005,10,593921.5189,VND,0.1204,5224000.0
QL0000099,Q000052,P004,12,720271.475,VND,0.1378,7453000.0
QL0000100,Q000053,P005,11,24.2134,USD,0.0824,6250000.0
QL0000101,Q000053,P004,15,27.9625,USD,0.0712,9963000.0
QL0000102,Q000054,P003,13,433915.5899,VND,0.0263,5493000.0
QL0000103,Q000055,P002,45,16.0015,USD,0.1004,16527000.0
QL0000104,Q000056,P004,14,694416.5137,VND,0.0603,9136000.0
QL0000105,Q000056,P005,10,597625.9371,VND,0.0596,5620000.0
QL0000106,Q000056,P001,44,557288.9562,VND,0.0215,23993000.0
QL0000107,Q000057,P004,8,711109.719,VND,0.0959,5143000.0
QL0000108,Q000057,P001,15,594527.6208,VND,0.0975,8049000.0
QL0000109,Q000058,P010,88,15.8363,USD,0.1288,31184000.0
QL0000110,Q000058,P007,81,7.1062,USD,0.0204,14483000.0
QL0000111,Q000058,P008,29,15.8838,USD,0.0121,11688000.0
QL0000112,Q000059,P004,59,653673.1604,VND,0.1099,34327000.0
QL0000113,Q000060,P004,19,670785.8012,VND,0.0257,12417000.0
QL0000114,Q000060,P005,43,592027.7712,VND,0.0517,24141000.0
QL0000115,Q000061,P004,3,668365.653,VND,0.0644,1876000.0
