quotation_id,lead_id,customer_id,quote_date_raw,version_no,quote_date_clean_reference,valid_until,salesperson_id,currency,fx_rate_to_vnd,quotation_status,header_total_vnd
Q000001,L000001,C0053,2025-01-08,1,2025-01-08,2025-02-22,E101,VND,1.0,Revised,5575000.0
Q000002,L000001,C0053,2025-01-13,2,2025-01-13,2025-02-12,E101,VND,1.0,Revised,22458000.0
Q000003,L000001,C0053,2025-01-20,3,2025-01-20,2025-02-19,E101,VND,1.0,Accepted,33192000.0
Q000004,L000004,C0034,2025-01-21,1,2025-01-21,2025-02-20,E103,USD,25587.8366,Revised,21037000.0
Q000005,L000004,C0034,2025-01-23,2,2025-01-23,2025-02-22,E103,VND,1.0,Revised,2916000.0
Q000006,L000004,C0034,2025-01-29,3,2025-01-29,2025-02-28,E103,USD,25558.1923,Accepted,4297000.0
Q000007,L000010,C0027,2025-10-08,1,2025-10-08,2025-11-07,E102,VND,1.0,Revised,22592000.0
Q000008,L000010,C0027,2025-10-13,2,2025-10-13,2025-11-27,E102,VND,1.0,Revised,21774000.0
Q000009,L000010,C0027,2025-10-18,3,2025-10-18,2025-11-17,E102,VND,1.0,Rejected,29320000.0
Q000010,L000013,C0002,2025-03-04,1,2025-03-04,2025-04-03,E101,USD,25627.0164,Accepted,93604000.0
Q000011,L000017,C0002,2025-03-20,1,2025-03-20,2025-04-19,E102,VND,1.0,Rejected,29161000.0
Q000012,L000021,C0081,2025-04-07,1,2025-04-07,2025-05-07,E101,VND,1.0,Expired,11354000.0
Q000013,L000024,,2025-04-05,1,2025-04-05,2025-05-05,E102,VND,1.0,Rejected,44998000.0
Q000014,L000026,C0012,2025-04-13,1,2025-04-13,2025-05-13,E101,VND,1.0,Accepted,50913000.0
Q000015,L000027,C0078,2025-04-26,1,2025-04-26,2025-05-26,E103,USD,25473.8825,Accepted,12233000.0
Q000016,L000030,C0001,2025-05-04,1,2025-05-04,2025-05-19,E102,VND,1.0,Expired,52915000.0
Q000017,L000031,C0014,2025-05-02,1,2025-05-02,2025-06-01,E102,VND,1.0,Revised,22946000.0
Q000018,L000031,C0014,2025-05-05,2,2025-05-05,2025-06-04,E102,VND,1.0,Accepted,5681000.0
Q000019,L000032,C0017,2025-05-04,1,2025-05-04,2025-06-03,E103,VND,1.0,Accepted,54386000.0
